65	0.000862	7	176	95	65	49	27	19
60	0.001908	13	206	46	44	49	29	22
55	0.012969	18	175	73	56	55	28	22
50	0.042809	49	201	61	55	54	29	22
45	0.110658	1189	729	232	222	433	189	266
44	0.130928	4194	3359	2767	1999	614	320	420
43	0.153895	54094	37898	31210	29938	8607	5253	5029
42	0.179723	INF	INF	INF	INF	INF	INF	INF
